Start,End
735554.1676,735554.1678
735555.7959,735555.7959
735555.943,735555.943
735556.0336,735556.0336
735556.1443,735556.181
735556.2032,735556.2261
735556.2849,735556.2849
735556.3634,735556.3634
735556.406,735556.406
735556.4979,735556.524
735556.5662,735556.5663
735556.6093,735556.6366
735556.6611,735556.8699
735556.9974,735557.0152
735557.0367,735557.0932
735557.1143,735557.1144
735558.1002,735558.3626
735558.6087,735558.6087
735558.6304,735558.6398
735558.7003,735558.7188
735558.7408,735558.7621
735558.8225,735558.8319
735559.0354,735559.0354
735560.5089,735560.5089
735560.6028,735560.6202
735560.6491,735560.6801
735560.9067,735560.9067
735561.3465,735561.3511
735561.3968,735561.4128
735561.947,735561.947
735561.9705,735561.974
735562.3803,735562.4116
735562.4538,735562.485
735562.5234,735562.5405
735562.5711,735562.5711
735563.3915,735563.3915
735564.7309,735564.7329
735564.8431,735564.8436
735564.8751,735564.895
735564.9355,735564.9726
735565.0554,735565.0603
735565.1183,735565.2055
735565.2274,735565.4934
735565.6118,735565.7496
735565.7744,735565.7746
735565.834,735565.834
735566.6217,735566.6217
735567.404,735567.4268
735567.7268,735567.7268
735568.2394,735568.2442
735568.342,735568.3629
735568.3976,735568.3976
735568.423,735568.424
735568.4497,735568.6556
735568.8236,735568.8301
735569.127,735569.1356
735569.4167,735569.4344
735569.4815,735569.4837
735569.9078,735569.9383
735570.0698,735570.4976
735570.5187,735571.9139
735571.9952,735572.0629
735572.0926,735572.4337
735572.4605,735573.7213
735573.7846,735573.9787
735574.0498,735574.5334
735574.5686,735574.5779
735574.6032,735575.7389
735575.8202,735575.8202
735575.9194,735575.9293
735575.9512,735575.9512
735575.9922,735575.9936
735576.0241,735576.2986
735576.3484,735576.4125
735576.4409,735576.4553
735576.4814,735576.4814
735576.5227,735576.5242
735576.5729,735576.5729
735576.6002,735576.6928
735576.791,735576.8006
735576.9734,735576.9773
735577.003,735577.036
735577.1321,735577.5997
735577.6229,735577.7325
735577.8103,735577.8728
735577.9041,735578.5909
735578.6219,735578.6763
735578.698,735578.7834
735578.8254,735578.8254
735578.8787,735578.9292
735578.9876,735578.9876
735579.2151,735579.2152
735579.4752,735579.4752
735579.5779,735579.5779
735579.6792,735579.6792
735579.9151,735579.9366
735580.1145,735580.1145
735580.161,735580.2228
735580.2557,735580.2557
735580.2888,735580.345
735580.4243,735580.4243
735580.469,735580.469
735580.5139,735580.5139
735580.557,735580.557
735580.6347,735580.6439
735580.8004,735580.873
735580.9344,735581.035
735581.1084,735581.4482
735581.4915,735581.7328
735582.0139,735582.0139
735582.0442,735582.0497
735582.0744,735582.1036
735582.1471,735582.1471
735582.2728,735582.2728
735582.453,735582.4599
735582.4825,735582.5769
735582.6283,735582.6894
735583.301,735583.3011
735583.3267,735583.3307
735583.4015,735583.51
735583.6025,735583.6834
735583.963,735583.963
735584.1222,735584.1222
735584.2075,735584.2936
735584.3171,735584.8363
735584.863,735584.8712
735584.9048,735584.9131
735584.9448,735584.9505
735584.9785,735585.0003
735585.028,735585.8686
735585.8947,735586.0403
735586.0743,735586.0902
735586.1167,735586.1321
735586.1796,735586.1813
735586.2113,735586.5708
735586.6053,735586.841
735586.8774,735586.8774
735588.1198,735588.1306
735588.1724,735588.1825
735588.2231,735588.2231
735588.2963,735588.2964
735588.3193,735588.9331
735588.9555,735588.9953
735589.0248,735589.0351
735589.1024,735589.105
735589.1424,735589.1534
735589.1752,735589.2198
735589.2465,735589.6224
735589.6539,735589.7755
735589.798,735589.7999
735589.8462,735589.8607
735592.2106,735592.2106
735592.2357,735592.5229
735592.5599,735592.5694
735593.7398,735593.7491
735593.859,735593.8607
735593.882,735593.9486
735593.974,735594.8574
735594.9523,735594.9579
735595.0077,735595.0359
735595.0649,735595.0782
735595.132,735595.1446
735595.3049,735595.3049
