time,latitude,longitude,analysed_sst,analysis_error
UTC,degrees_north,degrees_east,degree_C,degree_C
2016-05-22T09:00:00Z,32.1,-77.09,27.198999999999998,0.39
2016-05-22T09:00:00Z,32.1,-77.08,27.203,0.39
2016-05-22T09:00:00Z,32.11,-77.1,27.238,0.39
2016-05-22T09:00:00Z,32.11,-77.09,27.236,0.39
2016-05-22T09:00:00Z,32.11,-77.08,27.236,0.39
2016-05-22T09:00:00Z,32.12,-77.1,27.266,0.39
2016-05-22T09:00:00Z,32.12,-77.09,27.262,0.39
2016-05-22T09:00:00Z,32.12,-77.08,27.256,0.39
2016-05-23T09:00:00Z,32.1,-77.1,27.171,0.39
2016-05-23T09:00:00Z,32.1,-77.09,27.176000000000002,0.39
2016-05-23T09:00:00Z,32.1,-77.08,27.18,0.39
2016-05-23T09:00:00Z,32.11,-77.1,27.185,0.39
2016-05-23T09:00:00Z,32.11,-77.09,27.188,0.39
2016-05-23T09:00:00Z,32.11,-77.08,27.191,0.39
2016-05-23T09:00:00Z,32.12,-77.1,27.197,0.38
2016-05-23T09:00:00Z,32.12,-77.09,27.198999999999998,0.38
2016-05-23T09:00:00Z,32.12,-77.08,27.201,0.38
2016-05-24T09:00:00Z,32.1,-77.1,27.056,0.39
2016-05-24T09:00:00Z,32.1,-77.09,27.053,0.39
2016-05-24T09:00:00Z,32.1,-77.08,27.049,0.39
2016-05-24T09:00:00Z,32.11,-77.1,27.054,0.39
2016-05-24T09:00:00Z,32.11,-77.09,27.051000000000002,0.39
2016-05-24T09:00:00Z,32.11,-77.08,27.047,0.39
2016-05-24T09:00:00Z,32.12,-77.1,27.053,0.39
2016-05-24T09:00:00Z,32.12,-77.09,27.05,0.39
2016-05-24T09:00:00Z,32.12,-77.08,27.046,0.39
2016-05-25T09:00:00Z,32.1,-77.1,26.957,0.38
2016-05-25T09:00:00Z,32.1,-77.09,26.944,0.38
2016-05-25T09:00:00Z,32.1,-77.08,26.928,0.38
2016-05-25T09:00:00Z,32.11,-77.1,26.977,0.38
2016-05-25T09:00:00Z,32.11,-77.09,26.961,0.38
2016-05-25T09:00:00Z,32.11,-77.08,26.943,0.38
2016-05-25T09:00:00Z,32.12,-77.1,26.994,0.38
2016-05-25T09:00:00Z,32.12,-77.09,26.974,0.38
2016-05-25T09:00:00Z,32.12,-77.08,26.954,0.38
2016-05-26T09:00:00Z,32.1,-77.1,26.991,0.37
2016-05-26T09:00:00Z,32.1,-77.09,26.98,0.37
2016-05-26T09:00:00Z,32.1,-77.08,26.962,0.37
2016-05-26T09:00:00Z,32.11,-77.1,27.012,0.37
2016-05-26T09:00:00Z,32.11,-77.09,26.998,0.37
2016-05-26T09:00:00Z,32.11,-77.08,26.98,0.37
2016-05-26T09:00:00Z,32.12,-77.1,27.048000000000002,0.37
2016-05-26T09:00:00Z,32.12,-77.09,27.026,0.37
2016-05-26T09:00:00Z,32.12,-77.08,27.006,0.37
2016-05-27T09:00:00Z,32.1,-77.1,26.939,0.38
2016-05-27T09:00:00Z,32.1,-77.09,26.898,0.38
2016-05-27T09:00:00Z,32.1,-77.08,26.864,0.38
2016-05-27T09:00:00Z,32.11,-77.1,26.939,0.38
2016-05-27T09:00:00Z,32.11,-77.09,26.908,0.38
2016-05-27T09:00:00Z,32.11,-77.08,26.882,0.38
2016-05-27T09:00:00Z,32.12,-77.1,26.951,0.38
2016-05-27T09:00:00Z,32.12,-77.09,26.928,0.38
2016-05-27T09:00:00Z,32.12,-77.08,26.907,0.38
2016-05-28T09:00:00Z,32.1,-77.1,26.943,0.39
2016-05-28T09:00:00Z,32.1,-77.09,26.933,0.39
2016-05-28T09:00:00Z,32.1,-77.08,26.928,0.39
2016-05-28T09:00:00Z,32.11,-77.1,26.941,0.39
2016-05-28T09:00:00Z,32.11,-77.09,26.933,0.39
2016-05-28T09:00:00Z,32.11,-77.08,26.929,0.39
2016-05-28T09:00:00Z,32.12,-77.1,26.942,0.39
2016-05-28T09:00:00Z,32.12,-77.09,26.936,0.39
2016-05-28T09:00:00Z,32.12,-77.08,26.933,0.39
2016-05-29T09:00:00Z,32.1,-77.1,27.039,0.39
2016-05-29T09:00:00Z,32.1,-77.09,27.019,0.39
2016-05-29T09:00:00Z,32.1,-77.08,26.997,0.39
2016-05-29T09:00:00Z,32.11,-77.1,27.06,0.39
2016-05-29T09:00:00Z,32.11,-77.09,27.041,0.39
2016-05-29T09:00:00Z,32.11,-77.08,27.021,0.39
2016-05-29T09:00:00Z,32.12,-77.1,27.079,0.39
2016-05-29T09:00:00Z,32.12,-77.09,27.062,0.39
2016-05-29T09:00:00Z,32.12,-77.08,27.043,0.39
2016-05-30T09:00:00Z,32.1,-77.1,26.953,0.39
2016-05-30T09:00:00Z,32.1,-77.09,26.944,0.39
2016-05-30T09:00:00Z,32.1,-77.08,26.933,0.39
2016-05-30T09:00:00Z,32.11,-77.1,26.958,0.39
2016-05-30T09:00:00Z,32.11,-77.09,26.949,0.39
2016-05-30T09:00:00Z,32.11,-77.08,26.939,0.39
